mVV,mRecoil,mRCmin,mRCmax,mRCLSP,mLSPmax
89.116,100.47,71.1674,116.062,107.765,48.5867
90.4604,90.6135,63.0712,96.0966,89.0092,36.2819
92.6686,91.103,50.1576,78.9172,72.6926,30.2054
91.4351,90.2779,43.6903,66.8796,61.8366,25.1576
97.6094,90.0985,40.5623,65.062,59.4672,24.4369
98.6103,92.3034,31.9718,52.7416,48.1011,20.2924
92.4879,93.2984,38.1385,60.2451,55.5921,23.4199
102.219,94.4982,32.8195,57.2608,51.8345,22.5577
90.1294,93.5005,75.7977,117.801,109.17,45.9158
96.4416,91.5192,74.0332,119.037,109.026,45.402
91.2007,77.2794,75.4271,105.732,97.9658,34.1029
92.8241,91.2972,74.1539,115.604,106.61,43.9781
94.8096,85.3337,72.6289,109.863,101.002,39.1017
92.0341,95.6075,67.5228,110.697,101.994,44.6942
93.9102,90.326,59.33,92.5669,85.1958,34.8422
90.6751,93.1635,55.6162,86.515,80.1027,33.5835
92.5935,90.8649,74.4793,116.691,107.526,44.4947
88.8322,91.5827,33.4864,53.2772,49.2156,21.0351
90.6255,92.2355,66.3317,103.85,96.003,40.3046
88.403,100.759,51.6615,83.9408,78.0389,35.2409
90.6335,89.7515,43.374,65.7558,60.8873,24.5905
91.7593,87.2072,75.7739,113.705,105.085,41.3238
87.6813,92.1204,53.2394,80.3763,74.8204,30.8512
94.2471,90.6034,44.2427,69.3841,63.8151,26.2027
100.142,89.6961,71.6871,117.26,106.643,43.9109
89.7369,119.885,49.4714,105.073,97.2909,53.0148
92.1174,97.8543,62.3028,101.951,94.1419,41.5679
90.596,91.2392,77.4625,118.686,109.905,45.1202
94.8791,89.5434,75.8434,118.487,108.862,44.2183
91.9056,83.7254,67.5872,99.1129,91.6112,34.5962
93.6577,90.0729,74.3373,115.623,106.456,43.4234
90.8928,89.1836,28.893,44.0277,40.7105,16.4538
91.4183,90.5173,34.8475,53.4316,49.404,20.1522
101.807,90.7558,36.3502,60.8381,55.1517,23.0304
92.4543,92.8742,40.6066,63.9091,58.9768,24.7313
96.2722,92.5999,67.3343,109.12,99.9675,42.1069
91.0839,92.5917,37.4579,58.1951,53.8414,22.4516
93.7894,91.7156,53.6177,84.6284,77.8877,32.3741
87.0247,72.832,63.4046,84.9013,79.2542,25.8271
90.4625,93.0034,11.4003,17.6818,16.3779,6.85193
90.7281,103.686,50.9509,86.895,80.4469,37.5412
90.7736,90.85,77.3509,118.33,109.54,44.7929
89.3671,90.5067,79.3401,119.843,111.225,45.1941
90.6587,83.4019,62.6183,90.9092,84.2123,31.6061
88.9955,76.2956,50.9281,71.1653,66.0201,23.0122
87.1542,92.5501,20.7408,31.9184,29.6705,12.495
92.5638,89.8069,73.9246,113.734,104.939,42.5679
125.905,93.3346,14.6343,36.9735,31.6901,14.6172
95.4663,95.1978,70.8612,116.672,107.045,46.2789
75.125,89.7849,84.992,116.982,111.103,43.7633
89.4332,91.0732,49.9186,76.9037,71.2326,29.5161
86.1883,91.6608,36.0345,53.6652,50.0854,20.4958
91.7419,102.042,36.3271,61.5749,56.8987,26.18
89.5685,94.0247,53.021,82.3222,76.3745,32.2513
89.3745,94.1605,36.1508,57.5087,53.2251,22.946
92.0743,87.0408,77.0482,115.733,106.901,41.9821
90.6875,90.7546,60.0553,91.7485,84.9464,34.6941
91.2231,88.6668,68.1934,103.037,95.3058,38.0757
101.115,90.5578,38.96,64.7431,58.766,24.4676
90.9483,91.354,58.4778,90.3031,83.5235,34.4824
124.63,93.8952,45.2508,108.87,93.7915,42.9737
88.2694,91.1469,73.8681,114.154,105.819,44.2139
78.2197,90.8113,76.5368,109.666,103.468,42.1961
87.702,92.8019,79.0442,119.936,111.642,46.3763
91.0759,95.985,66.3996,105.985,98.0568,42.3872
