mVV,mRecoil,mRCmin,mRCmax,mRCLSP,mLSPmax
72.0479,133.046,43.5312,83.8176,79.9517,46.4652
62.9141,116.335,79.7919,119.993,115.797,58.1641
56.0444,78.5558,80.2479,96.9658,94.2802,31.7669
186.244,53.2375,6.55568,83.088,62.9569,22.1422
63.5267,112.29,60.6463,89.0946,85.9169,41.6851
44.0906,152.543,67.2674,117.317,115.321,74.5695
105.911,59.0689,60.2017,81.298,74.3843,20.4016
139.651,16.2804,79.1977,89.3643,84.7294,7.06725
117.283,64.8396,66.9891,100.386,89.75,27.7955
141.019,70.6868,54.9401,111.519,94.3803,34.3544
160.126,78.7017,10.6657,101.623,80.4703,35.4257
85.2088,131.646,44.1949,103.148,96.4279,56.579
121.855,113.289,18.1782,90.7679,78.248,42.8732
133.04,104.121,18.2841,118.355,99.2291,51.7235
135.17,42.7841,63.0299,86.6985,77.6217,16.7459
50.6644,175.118,40.6036,119.747,117.048,87.3741
40.8521,170.36,56.9802,119.988,118.237,85.1715
162.997,17.4464,78.7428,94.9582,87.6591,8.68159
153.22,28.7283,70.2668,92.1218,82.9354,12.8979
113.504,44.8413,79.7051,101.633,93.4547,19.8172
69.6321,158.037,29.2622,92.4906,88.5123,60.9051
144.084,74.0507,47.0413,107.892,90.2117,34.8043
52.7072,177.701,27.8538,99.5151,97.0857,73.683
198.633,38.9646,15.255,80.6875,60.6585,17.5462
131.109,46.3311,76.5739,106.391,95.2537,21.9537
188.623,17.5405,60.3474,82.6698,72.8853,8.61507
137.146,79.5283,50.857,114.801,97.0493,39.1875
112.332,74.6684,65.5411,103.266,92.4017,32.5312
139.013,64.9574,53.1588,95.9515,82.2294,27.3021
184.428,49.8469,25.2579,96.3213,74.4424,24.1617
98.5449,126.935,41.09,119.977,109.397,63.4576
64.8091,153.536,48.7218,118.34,113.929,75.8348
160.198,68.9328,26.7457,84.7004,68.1142,26.3591
145.857,45.0648,71.718,107.414,93.9923,22.224
128.363,59.4713,63.5754,97.8355,86.2979,25.3084
77.5208,79.7086,76.4878,101.238,95.8116,33.6231
134.503,93.1485,37.6288,117.059,98.4212,46.1228
132.105,47.5211,78.736,111.177,99.1662,23.5385
169.641,19.2616,71.8743,90.8153,82.4266,9.35255
69.1911,155.073,31.7673,89.2198,85.4321,57.6524
195.607,35.2705,31.6306,86.1879,67.1132,17.0222
181.112,10.0941,70.4681,81.8024,76.5032,4.90382
189.985,20.7081,55.9266,82.7908,71.3624,10.077
142.214,22.4608,80.3231,95.6969,88.9477,10.3368
149.719,51.27,63.8886,106.796,91.4907,25.0395
169.817,29.1819,56.6545,82.1253,71.6171,12.3231
151.082,61.3613,55.8185,111.277,93.2205,30.6745
50.3345,170.927,41.3198,116.432,113.769,84.0911
178.85,35.4133,49.73,89.211,74.0769,16.4786
73.0356,145.65,41.407,100.505,95.7385,60.9942
114.641,52.3198,79.3732,106.708,97.0758,24.0907
186.298,33.9452,42.2077,82.0822,66.972,15.0252
199.088,38.0772,16.5393,80.0317,60.2701,17.1224
119.16,62.2445,67.4282,107.571,94.7442,30.2886
115.5,97.7936,40.4185,87.9299,77.2881,35.9276
199.344,39.6648,10.5813,86.988,64.8866,19.2572
196.232,40.9525,17.2558,86.1549,65.0534,19.2803
101.818,20.0547,75.0452,81.9014,78.8848,7.27922
148.65,65.841,39.2196,82.0495,68.6315,23.982
145.228,55.5445,49.7314,84.1985,72.2681,21.009
123.566,95.8764,47.1433,115.644,99.8049,46.5085
109.098,113.197,34.1864,90.7794,80.8546,42.8236
182.711,22.6374,48.1476,80.2901,67.1581,11.308
140.235,50.246,54.7303,96.4478,81.9373,23.7682
58.6091,118.193,78.8648,116.621,113.091,57.4329
85.7784,90.8029,79.908,118.629,110.719,45.0868
134.768,81.7464,40.2824,91.1774,77.3472,31.8527
141.907,36.7555,74.7497,100.633,90.2841,17.1449
31.9275,204.291,20.2611,117.962,116.912,100.502
153.317,24.0522,80.6166,100.828,92.0679,11.9929
155.609,53.4937,56.5331,104.236,87.6905,25.6729
118.055,88.1093,61.3523,118.976,104.396,44.0324
174.504,40.6896,52.8059,99.0063,81.8792,20.2202
171.812,36.2498,57.9971,96.0171,81.2425,17.5745
90.3258,119.983,53.3575,110.748,102.605,55.3661
164.411,54.1616,43.5379,93.6308,76.7921,23.7884
194.548,39.1837,25.7347,86.3838,66.3672,18.5038
126.673,95.1902,31.184,81.1315,69.5075,32.4639
197.021,29.0289,39.5338,84.0385,67.1958,14.2329
148.586,63.2579,54.6902,108.766,91.3858,30.6721
178.312,50.9975,35.1794,101.043,79.7819,25.328
165.381,53.5843,43.6843,94.4196,77.3256,23.8234
168.446,16.7529,67.3285,82.0313,75.4038,7.38929
121.559,61.2977,62.7555,93.7871,83.5436,24.7467
31.3861,166.454,67.8587,119.868,118.839,83.1357
98.8877,118.084,51.256,119.926,109.272,59.0068
197.856,41.3244,9.6897,88.9347,66.4057,20.2012
177.553,48.8432,36.7992,93.5903,74.6051,22.5668
139.338,85.3091,37.4501,103.683,86.6436,37.8256
80.4282,106.784,69.6081,111.245,104.812,49.4965
67.5206,152.628,36.116,90.6913,87.0283,57.6753
166.7,70.3375,17.8452,105.131,82.5696,33.6494
87.8296,76.6784,69.9416,95.9539,89.3944,30.6898
145.787,51.272,56.8706,91.6102,79.1636,21.296
190.018,41.9549,26.3841,80.9667,62.8434,17.9843
91.6862,140.383,23.9504,94.135,86.993,55.0703
82.9562,118.845,59.3022,116.808,109.237,59.2658
42.7661,184.488,36.8871,116.428,114.558,89.6487
103.304,122.758,39.4993,118.981,107.36,60.9458
98.7588,50.688,69.5918,87.3968,81.2359,18.9383
144.914,81.72,38.3737,112.743,93.1458,39.8045
170.092,65.2651,16.9673,106.712,83.0807,32.6303
144.344,52.8427,66.6022,108.083,93.3922,25.7523
178.391,16.8891,54.5913,75.8631,66.5837,8.10435
86.6146,128.148,39.013,87.3976,81.5077,46.6658
166.513,55.5597,42.3265,98.9688,80.379,25.8381
64.4085,160.804,35.223,117.11,112.67,79.7461
201.58,30.5357,29.063,80.5011,62.2573,14.6092
161.163,29.574,61.3655,84.6543,74.9803,12.4903
175.516,50.1792,33.6414,84.36,67.468,20.6824
95.4398,129.934,33.6785,99.9908,91.6985,54.2792
72.4835,159.987,22.4377,90.2817,86.0659,60.1829
138.033,49.4764,51.879,77.7481,68.3271,17.3347
152.64,38.3696,72.3414,105.068,92.202,19.1017
166.634,31.6795,59.8814,87.9187,76.516,14.034
87.7072,147.929,19.5904,103.195,96.0574,63.6064
116.85,30.8841,93.1578,110.364,103.25,15.2113
125.795,82.0742,46.5189,91.5111,79.2597,31.8271
39.4294,184.265,41.4281,115.819,114.239,89.0923
84.1491,122.458,47.4319,93.2152,87.2978,47.5621
174.839,28.4458,55.0605,82.0812,70.9593,12.277
170.259,46.7751,40.7948,81.9456,67.3539,18.6254
65.9861,150.274,36.0595,83.175,79.969,52.082
99.8441,78.0265,57.7363,85.6421,78.2031,27.9589
30.8084,132.939,72.4124,99.0592,98.2394,54.8781
114.176,48.0612,85.3803,111.521,102.005,23.2736
190.658,17.0229,56.5382,80.0193,69.7954,8.46011
155.253,82.1237,17.5298,113.238,90.6654,40.6828
139.309,70.1624,57.2402,112.303,95.4967,34.2848
150.216,40.6472,64.3002,94.3618,82.7163,17.9626
130.935,41.1545,77.6799,106.641,95.5127,20.4807
140.576,90.3075,26.2346,94.1012,77.9952,36.2161
144.661,65.7821,56.7253,111.434,94.1463,32.3398
105.998,123.911,34.1132,118.894,106.67,61.3843
113.758,40.3609,82.1988,104.119,95.7132,19.0333
152.646,79.7993,22.3437,85.5236,69.2636,29.8444
194.895,31.1263,37.5447,81.6096,65.1498,14.4789
166.823,11.7252,80.1208,91.4991,86.1976,5.85768
159.694,66.5742,23.1919,96.5125,76.4264,30.2445
133.901,62.3273,49.4289,81.9432,71.2462,22.2949
134.097,101.397,19.1353,98.2899,82.2835,41.9172
48.0691,125.885,73.9343,112.959,110.467,61.803
151.641,50.7397,48.3776,81.6616,69.7608,19.0279
138.637,50.9041,63.9893,97.0955,85.1506,22.1253
197.22,30.0976,37.8251,84.6306,67.1954,14.7876
177.256,59.0026,20.7033,102.425,79.3545,28.9371
95.6187,143.72,8.58422,115.688,106.11,69.2778
146.883,82.4504,29.2743,95.6539,78.5307,34.1136
156.54,56.4734,53.2664,108.023,89.72,28.2229
133.628,87.325,42.1978,106.052,89.78,39.3264
151.137,13.1769,79.525,89.379,84.8098,6.02305
141.699,68.4777,43.8191,87.5168,74.0474,26.3319
162.528,48.9071,56.525,105.229,87.9021,24.3446
178.667,51.4203,33.0545,98.5353,77.5943,24.8991
35.5181,118.414,62.8149,85.9529,84.8801,45.133
34.5891,178.76,54.0799,118.076,116.844,87.9489
185.648,16.1197,62.9089,82.3381,73.6872,7.82681
168.095,42.2012,53.7774,95.0144,79.6553,19.624
25.1907,196.518,44.2899,115.655,115.017,94.7064
186.41,21.7315,56.5517,82.63,71.545,10.2852
129.067,50.399,51.4146,75.0316,66.5442,17.0742
170.196,15.6693,75.5849,91.4148,84.2361,7.8004
169.126,57.2396,30.5845,81.437,65.3123,21.9543
145.625,15.8726,74.3723,84.5802,79.9171,6.6493
184.809,21.0025,55.9237,79.9779,69.6767,9.63723
103.163,133.946,14.7135,95.078,85.8462,53.0639
137.16,40.8797,62.3381,85.1521,76.2836,15.8341
184.126,42.0011,39.0781,95.0462,75.5548,20.6903
154.269,29.338,63.1649,83.9511,75.2607,12.0577
152.906,79.0608,27.4436,101.777,82.4468,35.2368
155.462,60.5626,34.145,72.0673,59.7668,19.806
150.879,85.1399,19.733,104.631,84.6051,38.5939
125.673,76.489,47.183,104.897,89.1649,36.545
156.639,79.6759,8.40872,90.2732,71.6749,32.0517
107.117,47.9185,65.8273,83.5698,77.1688,17.2175
139.882,36.9989,78.0249,104.295,93.8052,17.7965
138.638,37.2862,61.3841,81.8013,73.6634,14.0201
75.945,135.06,54.6853,114.771,108.873,64.5873
132.519,79.8365,39.907,83.5587,71.4076,28.4909
181.963,41.3315,36.3218,80.2941,64.6096,17.0643
125.333,65.575,70.2733,112.306,98.8907,31.6832
86.6148,144.466,32.3839,119.902,111.822,72.1743
19.7428,157.466,78.485,116.378,115.983,76.3565
95.3728,101.382,47.4105,82.8544,76.0264,35.0124
140.08,75.897,51.0949,112.898,95.138,37.0523
128.935,87.7731,44.4833,102.004,87.3257,37.8682
187.161,38.0174,39.7877,90.1286,72.0085,18.2241
147.067,70.2517,44.3944,99.1123,82.6728,30.6226
150.972,76.539,34.5074,103.039,84.2534,34.5648
113.635,84.7023,61.4615,108.357,96.1426,38.523
124.088,43.8486,80.0901,105.657,95.9605,20.4824
80.1906,102.146,50.2561,81.7234,76.6515,36.1021
111.583,95.8222,57.9486,115.093,102.103,46.0751
101.029,126.623,35.838,115.385,104.616,61.0045
85.5768,148.248,25.8396,119.377,111.497,73.8925
129.493,37.5712,76.286,98.1537,89.4625,16.6341
100.323,53.3426,72.2963,92.4395,85.5979,21.0022
39.1306,114.521,75.7273,98.5779,97.2589,47.0387
117.323,104.281,39.8005,103.505,90.4288,45.0404
54.0625,161.528,48.0492,109.381,106.57,73.6216
143.068,50.6999,70.1333,109.704,95.4324,25.1091
147.45,31.3117,69.9522,91.7453,82.7184,13.6777
184.941,23.6989,57.195,85.9352,73.8908,11.4796
