mVV,mRecoil,mRCmin,mRCmax,mRCLSP,mLSPmax,mRCmin(40),mRCmax(40),mRCmin(80),mRCmax(80),mRCmin(110),mRCmax(110)
92.3661,89.5266,49.8291,76.3741,70.4968,28.4926,-1,-1,-1,-1,-1,-1
63.224,92.5051,86.0898,113.142,109.146,43.6093,102.837,112.457,-1,-1,-1,-1
91.8393,79.6005,76.3914,109.019,100.852,36.2052,-1,-1,-1,-1,-1,-1
91.9707,90.8447,53.3377,82.3429,76.0556,31.174,-1,-1,-1,-1,-1,-1
91.4362,80.0751,61.746,88.1722,81.614,29.4514,-1,-1,-1,-1,-1,-1
76.4357,90.7164,23.1747,32.5378,30.8161,12.3957,-1,-1,-1,-1,-1,-1
90.5728,92.0058,41.0279,63.2115,58.5379,24.2336,-1,-1,-1,-1,-1,-1
89.4625,81.5331,71.2701,101.513,94.2487,34.5051,-1,-1,-1,-1,-1,-1
86.5302,91.3291,6.7643,10.0721,9.39532,3.83283,-1,-1,-1,-1,-1,-1
79.6054,92.4718,65.9338,94.5847,89.2302,36.4434,-1,-1,-1,-1,-1,-1
89.8602,92.7138,77.5507,119.479,110.788,46.1555,98.4035,117.491,-1,-1,-1,-1
91.4407,83.2444,81.8868,119.472,110.507,41.5021,105.265,114.448,-1,-1,-1,-1
98.2927,102.394,63.998,116.809,106.554,49.857,87.2887,115.398,-1,-1,-1,-1
91.1507,93.2594,70.0995,109.53,101.323,42.5613,94.0483,106.136,-1,-1,-1,-1
91.9266,88.4334,75.9092,115.051,106.287,42.398,99.2996,111.079,-1,-1,-1,-1
90.9939,90.8839,41.4714,63.5613,58.8159,24.0696,-1,-1,-1,-1,-1,-1
92.8462,91.1569,74.8675,116.607,107.531,44.2911,97.3926,113.654,-1,-1,-1,-1
91.0831,91.2423,71.9348,110.67,102.384,42.0878,95.9747,106.823,-1,-1,-1,-1
91.3401,90.5609,51.4114,78.8092,72.879,29.7378,-1,-1,-1,-1,-1,-1
86.3438,91.9495,68.7871,105.636,98.2428,41.3458,93.4329,101.758,-1,-1,-1,-1
89.1137,97.8402,57.4343,91.5942,85.0461,37.3402,-1,-1,-1,-1,-1,-1
93.5568,88.3203,32.5185,49.8273,45.8966,18.3409,-1,-1,-1,-1,-1,-1
90.2912,88.6304,75.5032,115.808,106.997,43.4997,98.1886,112.566,-1,-1,-1,-1
87.7703,92.9321,40.3411,63.1765,58.5969,25.0044,-1,-1,-1,-1,-1,-1
28.8438,100.263,66.1949,82.1913,81.4674,37.8359,-1,-1,-1,-1,-1,-1
91.4606,93.0562,63.1683,98.7831,91.3289,38.3017,-1,-1,-1,-1,-1,-1
89.7123,92.0076,78.327,119.908,111.216,45.9687,99.1226,117.841,-1,-1,-1,-1
92.1244,90.8974,74.7885,115.613,106.758,43.7883,97.4604,112.521,-1,-1,-1,-1
89.0403,92.9959,67.2134,103.137,95.776,39.9636,-1,-1,-1,-1,-1,-1
91.2659,118.811,58.0172,119.985,110.971,59.3984,79.8704,119.972,-1,-1,-1,-1
96.3313,91.1149,74.8779,119.872,109.818,45.5198,97.4516,116.958,-1,-1,-1,-1
89.8788,92.0704,56.0853,86.326,80.0082,33.2077,-1,-1,-1,-1,-1,-1
92.2715,90.1501,62.2409,95.7781,88.4201,35.9781,-1,-1,-1,-1,-1,-1
91.8434,91.2011,20.4084,31.5534,29.1519,11.9905,-1,-1,-1,-1,-1,-1
83.8079,93.8353,65.1034,96.8208,90.7259,37.855,-1,-1,-1,-1,-1,-1
84.3875,89.8918,59.1594,86.047,80.5525,32.2289,-1,-1,-1,-1,-1,-1
91.4612,90.5523,78.1464,119.892,110.845,45.2357,99.5493,117.349,-1,-1,-1,-1
105.887,91.0981,37.0366,87.2532,76.3862,36.6391,-1,-1,-1,-1,-1,-1
92.2481,90.8945,9.08164,14.0499,12.9712,5.32117,-1,-1,-1,-1,-1,-1
91.1469,88.0943,78.0558,117.367,108.582,43.084,100.532,113.846,-1,-1,-1,-1
118.588,92.9578,30.8021,64.8476,56.7025,25.2622,-1,-1,-1,-1,-1,-1
100.869,92.2263,70.8482,119.223,108.252,45.8442,94.7134,116.03,-1,-1,-1,-1
90.9003,90.0144,61.2915,93.2761,86.3276,34.9844,-1,-1,-1,-1,-1,-1
90.8675,82.5203,7.91363,11.5287,10.6644,3.99523,-1,-1,-1,-1,-1,-1
94.1809,89.3596,30.9452,48.0231,44.179,17.8851,-1,-1,-1,-1,-1,-1
90.49,88.2245,77.8813,116.678,108.072,42.8933,100.384,113.147,-1,-1,-1,-1
90.5953,91.666,59.192,90.9806,84.2497,34.7493,-1,-1,-1,-1,-1,-1
113.341,91.9206,45.2609,86.9932,76.9885,33.4521,-1,-1,-1,-1,-1,-1
90.6835,90.088,45.2773,68.8335,63.731,25.8379,-1,-1,-1,-1,-1,-1
90.521,83.6994,79.4405,115.457,106.973,40.283,104.906,108.793,-1,-1,-1,-1
86.955,88.1669,77.6668,113.655,105.924,41.776,100.407,109.853,-1,-1,-1,-1
90.5549,90.7318,71.9568,109.806,101.69,41.512,96.4243,105.534,-1,-1,-1,-1
92.2696,87.8999,43.0125,65.0965,60.1034,23.8455,-1,-1,-1,-1,-1,-1
90.9158,90.6485,75.4889,118.054,108.955,45.3152,97.3754,115.556,-1,-1,-1,-1
105.778,90.3338,65.4902,113.938,102.427,43.0807,92.8512,108.856,-1,-1,-1,-1
91.3481,91.6659,34.7023,53.6419,49.6046,20.4881,-1,-1,-1,-1,-1,-1
90.6792,91.7921,77.8682,119.875,110.99,45.8484,98.9287,117.67,-1,-1,-1,-1
91.183,89.5306,55.3717,84.147,77.839,31.3933,-1,-1,-1,-1,-1,-1
91.9489,77.4986,47.5475,67.0185,62.0176,21.6806,-1,-1,-1,-1,-1,-1
90.5938,92.3745,66.8145,103.245,95.6069,39.7383,-1,-1,-1,-1,-1,-1
91.532,80.1693,19.1325,27.3517,25.3131,9.14703,-1,-1,-1,-1,-1,-1
94.0702,90.3788,73.9124,115.51,106.279,43.5036,97.2305,112.035,-1,-1,-1,-1
96.3868,89.5022,64.9518,102.644,94.0415,38.2948,-1,-1,-1,-1,-1,-1
89.116,100.47,71.1674,116.062,107.765,48.5867,92.0618,115.021,-1,-1,-1,-1
90.4604,90.6135,63.0712,96.0966,89.0092,36.2819,-1,-1,-1,-1,-1,-1
92.6686,91.103,50.1576,78.9172,72.6926,30.2054,-1,-1,-1,-1,-1,-1
91.4351,90.2779,43.6903,66.8796,61.8366,25.1576,-1,-1,-1,-1,-1,-1
97.6094,90.0985,40.5623,65.062,59.4672,24.4369,-1,-1,-1,-1,-1,-1
98.6103,92.3034,31.9718,52.7416,48.1011,20.2924,-1,-1,-1,-1,-1,-1
